route_id,num_stops,nn_time_seconds,nn_violations,algo_time_seconds,algo_violations,actual_time_seconds,actual_violations,algo_passes_run
RouteID_c398f21a-b659-4c0f-983e-5802982511a1,153,26072.6,3,25957.7,0,25751.3,0,7
RouteID_8d61d9ac-2c0b-43e5-9604-a8ee485fbf28,126,24549.7,0,22816.1,0,25151.7,0,4
RouteID_65950c5f-ee82-40c0-a0db-d0b6060274a8,112,24903.2,0,24107.1,0,24561.5,0,4
RouteID_3b583678-5cad-475b-b117-af034d15aae2,148,21745.5,0,21299.1,0,22108.5,0,4
RouteID_f0541d0d-50a2-4e17-a618-e74de45874c7,193,30800.6,0,29653.5,0,30057.4,0,4
RouteID_cc8a4f89-1a0e-4fca-a6e3-a662e5686f73,172,28338.7,6,28384.2,0,28188.0,6,3
RouteID_6989e0b7-a9af-4d3d-ad0d-f67e73420982,159,24092.2,1,23319.5,0,24142.3,0,4
RouteID_6322fde9-ae70-4935-b8bb-80583214ae69,188,30212.6,2,28461.7,0,27534.4,0,6
RouteID_a44f5e58-8c62-47c8-b2b8-65385f068dca,140,27639.3,4,27134.4,0,27140.8,0,9
RouteID_6d299520-fd1c-42a3-a121-cf74fdcb93f6,127,25015.5,1,25602.2,0,24874.6,1,3
RouteID_2908fe3f-1221-42bd-a710-49d639c8ccaf,192,25026.5,3,23959.4,0,24382.6,1,4
RouteID_43d6f077-0ef6-4e39-bad5-6ef1d699aa38,175,26985.3,1,26423.6,0,27402.3,0,5
RouteID_eadf4376-7eea-4913-8e2a-afbf9389ca5e,157,30107.2,0,28883.0,0,29704.7,0,5
RouteID_99d03063-0f92-48da-9745-2cfa76fb17ba,125,26788.4,0,25610.5,0,27417.2,0,5
RouteID_2b8421af-896b-4673-9655-5d0fdae06a2c,199,29903.4,4,30122.7,0,29669.0,2,5
RouteID_70d8e0c7-1e61-477a-be64-e2e4e63ac103,147,26002.8,24,26075.9,0,26138.5,0,4
RouteID_43a9d332-6915-46c5-9862-15a868e84038,152,25839.6,5,25516.7,0,24860.7,0,4
